run_idx,order_label,player_order,dk_init_mode,status,elapsed_s,output_path,n_iters,r_strat_final,r_obj_final,stable_count_final,Kcap_ch_2025,lam_ch_2025,dK_net_ch_2025,Kcap_ch_2030,lam_ch_2030,dK_net_ch_2030,Kcap_ch_2035,lam_ch_2035,dK_net_ch_2035,Kcap_ch_2040,lam_ch_2040,dK_net_ch_2040,Kcap_ch_2045,lam_ch_2045,dK_net_ch_2045,Kcap_eu_2025,lam_eu_2025,dK_net_eu_2025,Kcap_eu_2030,lam_eu_2030,dK_net_eu_2030,Kcap_eu_2035,lam_eu_2035,dK_net_eu_2035,Kcap_eu_2040,lam_eu_2040,dK_net_eu_2040,Kcap_eu_2045,lam_eu_2045,dK_net_eu_2045,Kcap_us_2025,lam_us_2025,dK_net_us_2025,Kcap_us_2030,lam_us_2030,dK_net_us_2030,Kcap_us_2035,lam_us_2035,dK_net_us_2035,Kcap_us_2040,lam_us_2040,dK_net_us_2040,Kcap_us_2045,lam_us_2045,dK_net_us_2045,Kcap_apac_2025,lam_apac_2025,dK_net_apac_2025,Kcap_apac_2030,lam_apac_2030,dK_net_apac_2030,Kcap_apac_2035,lam_apac_2035,dK_net_apac_2035,Kcap_apac_2040,lam_apac_2040,dK_net_apac_2040,Kcap_apac_2045,lam_apac_2045,dK_net_apac_2045,Kcap_af_2025,lam_af_2025,dK_net_af_2025,Kcap_af_2030,lam_af_2030,dK_net_af_2030,Kcap_af_2035,lam_af_2035,dK_net_af_2035,Kcap_af_2040,lam_af_2040,dK_net_af_2040,Kcap_af_2045,lam_af_2045,dK_net_af_2045,Kcap_row_2025,lam_row_2025,dK_net_row_2025,Kcap_row_2030,lam_row_2030,dK_net_row_2030,Kcap_row_2035,lam_row_2035,dK_net_row_2035,Kcap_row_2040,lam_row_2040,dK_net_row_2040,Kcap_row_2045,lam_row_2045,dK_net_row_2045
1,explicit_0,ch > us > apac > af > row > eu,zero,ok,2663.7,d:\Alexander\Studium\EEG\Complementarity Modelling\SolarGeoRisk_EPEC_intertemporal\outputs\sensitivity\run_001_explicit_0_zero\results_20260407_181459_3a515d.xlsx,30.0,0.094656045450877,32.96406833961326,0.0,931.0,163.2799993182044,-9.84970087141865,881.7514956429068,107.790923438355,-0.9838543106368637,876.8322240897224,95.90883256114384,-13.73605659896872,808.1519410948788,86.65126099880138,-19.11085280054998,712.597677092129,80.38147613290714,0.0,22.0,185.259146996706,-4.277522225642826,0.6123888717858675,191.3002737926858,1.150442977607072,6.364603759821229,973.8421858647101,-1.255206942910839,0.08856904526703425,871.2423283014741,0.8774638683766597,4.475888387150333,991.4467420873208,0.0,42.0,186.0358315818636,-6.027486725517706,11.86256637241147,202.2684015009818,-2.280393699225586,0.4605978762835399,961.0396072538823,-0.09209447964605437,0.0001254780532680069,830.0814032891867,1.655387239911476,8.27706167761065,965.385171494815,0.0,110.0,185.5015162420997,-6.100895056512933,79.49552471743533,186.734050974349,-13.8131211043778,10.42991919554635,985.3773771894001,-2.085850000552177,0.0006691927854629679,827.0782750883374,0.1109449908837288,0.5553941472041068,967.0766605887451,0.0,3.4,180.6735373237032,-0.6799749285602105,0.000125357198947401,251.6395160153225,2.107405938645059e-06,0.0001358942286406646,1000.000000099996,-2.428919527946922e-05,1.444825224333348e-05,1000.000000099996,0.02109448260345397,0.1054868612695132,1000.000000099996,0.0,293.0,186.7842046760568,-7.28236460047408,256.5881769976296,200.7536387520089,-10.37425708026068,204.7168915963262,939.4671142029105,-40.94225303077906,0.005626442430925679,853.2740846421761,1.155620351261599,5.78372819873892,977.0172395683204,0.0
2,explicit_0,ch > us > apac > af > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_185922_771354\_xJ_GIMTrRrejVvVXPbEztA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:19 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",122.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,explicit_0,ch > us > apac > af > row > eu,max_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190124_98a32e\__TKia5KFRRemBNrhqxNSIQ.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:29 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,explicit_0,ch > us > apac > af > row > eu,mixed,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190129_cf520a\_dp0_7BVnRv6yEr0cbnU_Fg.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:30 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,explicit_1,us > apac > ch > af > row > eu,zero,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190130_42f793\_Lc6PbY36QzG2MwO57Qe1kA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:31 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,explicit_1,us > apac > ch > af > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190131_f5350f\_6mQRNgrBT3OW4jEolWkr5w.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:32 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,explicit_1,us > apac > ch > af > row > eu,max_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190132_4b7ceb\_ADYg07t9SeKTmKYrUqKrnQ.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:32 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,explicit_1,us > apac > ch > af > row > eu,mixed,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190132_848bbb\_imOmzNZfSNKlUCnxTC7hfw.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:33 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,explicit_2,us > apac > af > ch > row > eu,zero,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190133_3aa94e\_JQnb0Uq8SNazMIv1tQ3bQA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:33 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,explicit_2,us > apac > af > ch > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_190133_0b76b3\_jDh1CZD1RJSzGs0WGr92Ww.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 19:01:33 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
