run_idx,order_label,player_order,dk_init_mode,status,elapsed_s,output_path
1,explicit_0,ch > us > apac > af > row > eu,zero,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_233258_5366d3\_rIgU8vfVTNCtj9722ZXWwA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:48:46 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",992.6,
2,explicit_0,ch > us > apac > af > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234931_69175e\_JyW4OqzdRJSdy5FwQiTqZA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:43 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",12.8,
3,explicit_0,ch > us > apac > af > row > eu,max_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234943_3f8908\_BE_VXdJGTn25CUThE84SnQ.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:44 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",1.0,
4,explicit_0,ch > us > apac > af > row > eu,mixed,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234944_2813fb\_cxLTuFxeTgu9_DBeXzretA.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:45 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.7,
5,explicit_1,us > apac > ch > af > row > eu,zero,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234945_b3f2f6\_CwS6WxcxRXOJ2eHrgKWSlw.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:46 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.6,
6,explicit_1,us > apac > ch > af > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234946_8959f3\_BrTne_1ZQyqSbFoeLQQDiw.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:47 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",1.0,
7,explicit_1,us > apac > ch > af > row > eu,max_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234947_3ef802\_zkjJWpsoSci_mZhWZxLaSw.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:47 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.7,
8,explicit_1,us > apac > ch > af > row > eu,mixed,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234948_22ae55\_OOM3dlhGSiq7PtlsMLx4cQ.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:48 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.8,
9,explicit_2,us > apac > af > ch > row > eu,zero,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234948_9bdf4b\_MY0zqxuqTtGe6mw1T11ENg.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:49 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.3,
10,explicit_2,us > apac > af > ch > row > eu,half_growth,"failed: Return code 2. There was a compilation error. Check C:\Users\ALEXAN~1\AppData\Local\Temp\solargeorisk_gams_20260407_234949_b6c11d\_cUf_Etv9S0SfeFMaRG1OZQ.lst for more information.

=============
Error Summary
=============

****  $588  Termination request by Control C Event

**** 1 ERROR(S)   0 WARNING(S)
GAMS 53.3.0  68a37de8 Mar 18, 2026          WEX-WEI x86 64bit/MS Windows - 04/07/26 23:49:49 Page 2
G e n e r a l   A l g e b r a i c   M o d e l i n g   S y s t e m
Include File Summary",0.3,
