dimension,level,n_branches,n_accepted,pass_rate,wilson_95_low,wilson_95_high
price_factor,1.0,12,6,0.5,0.2537815976,0.7462184024
price_factor,1.2,12,8,0.6666666667,0.3906220889,0.8618799089
price_factor,0.8,12,2,0.1666666667,0.04696514218,0.4480308623
update_order,CH-first,12,8,0.6666666667,0.3906220889,0.8618799089
update_order,EU-first,12,4,0.3333333333,0.1381200911,0.6093779111
update_order,AF-first,12,4,0.3333333333,0.1381200911,0.6093779111
capacity_weight,0.5,18,10,0.5555555556,0.3371641564,0.7544048187
capacity_weight,1.0,18,6,0.3333333333,0.1627877475,0.562505327
damping,0.3,18,6,0.3333333333,0.1627877475,0.562505327
damping,0.4,18,10,0.5555555556,0.3371641564,0.7544048187
order_x_price_factor,CH-first / 1.0,4,3,0.75,0.3006418426,0.9544127392
order_x_price_factor,CH-first / 1.2,4,3,0.75,0.3006418426,0.9544127392
order_x_price_factor,EU-first / 1.2,4,3,0.75,0.3006418426,0.9544127392
order_x_price_factor,EU-first / 1.0,4,1,0.25,0.04558726081,0.6993581574
order_x_price_factor,AF-first / 1.0,4,2,0.5,0.1500389892,0.8499610108
order_x_price_factor,AF-first / 1.2,4,2,0.5,0.1500389892,0.8499610108
order_x_price_factor,AF-first / 0.8,4,0,0,0,0.4898908365
order_x_price_factor,CH-first / 0.8,4,2,0.5,0.1500389892,0.8499610108
order_x_price_factor,EU-first / 0.8,4,0,0,0,0.4898908365
